model,dataset,n,temp,n_graded,n_skipped,k,pass_at_k
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,2,0.806037
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,4,0.883999
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,8,0.930416
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,16,0.957458
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,32,0.971566
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,gsm8k_eval.jsonl,64,0.8,100,0,64,0.980000
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,1,0.129375
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,2,0.172922
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,4,0.214146
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,8,0.251966
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,16,0.288658
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,32,0.325430
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_dw_lin_naive_K3_math_hard_s123/ckpt_best,olympiad_eval.jsonl,64,0.8,100,0,64,0.350000
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,1,0.292813
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,2,0.382232
/sensei-fs-3/users/rkrishna/Qwen32B-Qwen1.7B/checkpoints/jsd_math_hard_s123/ckpt_best,math_eval.jsonl,64,0.8,100,0,4,0.453938
